season,team,stadium,wins
2008,Sunrisers Hyderabad,Holkar Cricket Stadium,0
2008,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2008,Sunrisers Hyderabad,Subrata Roy Sahara Stadium,0
2008,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,0
2008,Sunrisers Hyderabad,JSCA International Stadium Complex,0
2008,Sunrisers Hyderabad,Sheikh Zayed Stadium,0
2008,Sunrisers Hyderabad,Sharjah Cricket Stadium,0
2008,Sunrisers Hyderabad,Dubai International Cricket Stadium,0
2008,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,0
2008,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2008,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,0
2008,Sunrisers Hyderabad,Green Park,0
2008,Sunrisers Hyderabad,M.Chinnaswamy Stadium,0
2008,Gujarat Lions,M Chinnaswamy Stadium,0
2008,Gujarat Lions,"Punjab Cricket Association Stadium, Mohali",0
2008,Gujarat Lions,Feroz Shah Kotla,0
2008,Gujarat Lions,Wankhede Stadium,0
2008,Gujarat Lions,Eden Gardens,0
2008,Gujarat Lions,Sawai Mansingh Stadium,0
2008,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",0
2008,Gujarat Lions,"MA Chidambaram Stadium, Chepauk",0
2008,Gujarat Lions,Dr DY Patil Sports Academy,0
2008,Gujarat Lions,Newlands,0
2008,Gujarat Lions,St George's Park,0
2008,Gujarat Lions,Kingsmead,0
2008,Gujarat Lions,SuperSport Park,0
2008,Gujarat Lions,Buffalo Park,0
2008,Gujarat Lions,New Wanderers Stadium,0
2008,Gujarat Lions,De Beers Diamond Oval,0
2008,Gujarat Lions,OUTsurance Oval,0
2008,Gujarat Lions,Brabourne Stadium,0
2008,Gujarat Lions,"Sardar Patel Stadium, Motera",0
2008,Gujarat Lions,Barabati Stadium,0
2008,Gujarat Lions,"Vidarbha Cricket Association Stadium, Jamtha",0
2008,Gujarat Lions,Himachal Pradesh Cricket Association Stadium,0
2008,Gujarat Lions,Nehru Stadium,0
2008,Gujarat Lions,Holkar Cricket Stadium,0
2008,Gujarat Lions,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2008,Gujarat Lions,Subrata Roy Sahara Stadium,0
2008,Gujarat Lions,Shaheed Veer Narayan Singh International Stadium,0
2008,Gujarat Lions,JSCA International Stadium Complex,0
2008,Gujarat Lions,Sheikh Zayed Stadium,0
